date,pm25,pm10,o3,no2,so2,co
2021-01-01,60,42, ,25,4,4
2021-01-02,84,67, ,35,5,6
2021-01-03,121,58, ,27,5,5
2021-01-04,103,64, ,28,6,6
2021-01-05,122,65, ,23,5,5
2021-01-06,135,53, ,16,4,7
2021-01-07,120,47, ,11,3,4
2021-01-08,101,34, ,15,4,3
2021-01-09,61,43, ,17,5,3
2021-01-10,76,46, ,18,5,5
2021-01-11,87,55, ,25,5,5
2021-01-12,103,65, ,38,4,7
2021-01-13,122,113, ,77,5,10
2021-01-14,175,133, ,87,6,12
2021-01-15,193,147, ,87,5,14
2021-01-16,233,86, ,24,5,8
2021-01-17,146,78, ,27,5,7
2021-01-18,125,76, ,42,5,8
2021-01-19,143,86, ,59,4,10
2021-01-20,154,83, ,49,4,9
2021-01-21,154,33, ,23,3,6
2021-01-22,79,54, ,19,2,8
2021-01-23,119,56, ,21,3,6
2021-01-24,119,50, ,27,3,6
2021-01-25,105,66, ,30,3,8
2021-01-26,126,51, ,24,3,8
2021-01-27,115,57, ,25,3,10
2021-01-28,124,38, ,20,3,6
2021-01-29,78,63, ,32,3,8
2021-01-30,120,58, ,32,3,7
2021-01-31,102,54, ,34,3,7
2021-02-01,90,51, ,25,3,6
2021-02-02,91,50, ,16,3,6
2021-02-03,99,55, ,21,4,6
2021-02-04,105,45, ,22,3,5
2021-02-05,85,53, ,29,3,7
2021-02-06,110,50, ,33,3,7
2021-02-07,109,46, ,22,3,6
2021-02-08,95,34, ,9,2,6
2021-02-09,83,7, ,7,2,6
2021-02-10,21,10, ,6,2,6
2021-02-11,34,30, ,5,3,5
2021-02-12,84,27, ,9,3,4
2021-02-13,76,41, ,16,3,6
2021-02-14,111,39, ,14,3,5
2021-02-15,104,33, ,10,3,5
2021-02-16,80,23, ,5,3,6
2021-02-17,60,27, ,7,3,4
2021-02-18,68,47, ,21,3,6
2021-02-19,109,55, ,22,3,7
2021-02-20,124,46, ,17,3,7
2021-02-21,105,51, ,26,3,7
2021-02-22,114,55, ,27,4,7
2021-02-23,111,40, ,12,3,4
2021-02-24,78,35, ,16,3,4
2021-02-25,73,28, ,17,3,6
2021-02-26,69,24, ,11,3,6
2021-02-27,60,43, ,22,4,7
2021-02-28,92,63, ,31,3,9
2021-03-01,129,16, ,11,3,7
2021-03-02,34,37, ,18,3,8
2021-03-03,73,48, ,19,3,9
2021-03-04,107,51, ,24,3,10
2021-03-05,118,32, ,24,3,8
2021-03-06,98,19, ,13,3,8
2021-03-07,54,42, ,22,3,8
2021-03-08,87,64, ,22,3,9
2021-03-09,129,53, ,22,3,7
2021-03-10,108,46, ,25,3,6
2021-03-11,88,71, ,31,4,8
2021-03-12,137,51, ,27,3,8
2021-03-13,107,61, ,26,3,9
2021-03-14,130,43, ,15,3,6
2021-03-15,95,49, ,19,3,6
2021-03-16,93,51, ,21,3,6
2021-03-17,92,40, ,16,3,5
2021-03-18,77,34, ,14,3,4
2021-03-19,65,47, ,18,3,5
2021-03-20,85,32, ,13,3,7
2021-03-21,63,66, ,10,3,5
2021-03-22,96,90, ,25,3,6
2021-03-23,125,73, ,26,2,7
2021-03-24,130,73, ,32,3,8
2021-03-25,144,52, ,16,2,5
2021-03-26,81,49, ,19,2,6
2021-03-27,90,55, ,19,2,7
2021-03-28,99,36, ,14,2,6
2021-03-29,67,35, ,13,2,5
2021-03-30,61,32, ,13,2,4
2021-03-31,58,28, ,12,2,5
2021-04-01,56,33, ,14,2,5
2021-04-02,64,38, ,14,2,6
2021-04-03,73,45, ,14,3,9
2021-04-04,87,41, ,12,2,9
2021-04-05,87,57, ,18,2,9
2021-04-06,120,50, ,16,2,7
2021-04-07,97,24, ,15,2,7
2021-04-08,55,27, ,16,2,7
2021-04-09,68,54, ,24,3,8
2021-04-10,109,38, ,15,2,5
2021-04-11,71,41, ,17,2,6
2021-04-12,69,43, ,16,2,6
2021-04-13,77,34, ,13,3,6
2021-04-14,61,32, ,15,2,6
2021-04-15,64,31, ,21,2,7
2021-04-16,75,26, ,13,2,7
2021-04-17,57,50, ,16,2,6
2021-04-18,102,79, ,23,3,6
2021-04-19,128,65, ,26,2,6
2021-04-20,119,61, ,23,3,5
2021-04-21,97,61, ,21,3,6
2021-04-22,109,61, ,21,3,7
2021-04-23,117,39, ,11,2,5
2021-04-24,71,32, ,12,2,6
2021-04-25,65,31, ,18,2,7
2021-04-26,67,33, ,22,2,7
2021-04-27,78,15, ,17,2,7
2021-04-28,45,32, ,17,2,7
2021-04-29,59,78, ,33,4,10
2021-04-30,149,54, ,16,3,9
2021-05-01,121,47, ,15,2,8
2021-05-02,97,28, ,16,2,7
2021-05-03,70,29, ,12,2,5
2021-05-04,57,34, ,18,2,7
2021-05-05,65,50, ,14,2,5
2021-05-06,77,48, ,13,2,6
2021-05-07,87,43, ,12,2,5
2021-05-08,77,39, ,10,2,4
2021-05-09,69,26, ,9,2,5
2021-05-10,48,26, ,8,2,4
2021-05-11,48,24, ,7,2,3
2021-05-12,52,29, ,10,2,4
2021-05-13,59,26, ,10,2,4
2021-05-14,59,27, ,8,2,3
2021-05-15,59,26, ,6,2,4
2021-05-16,56,22, ,7,2,4
2021-05-17,46,23, ,8,2,4
2021-05-18,46,24, ,7,2,4
2021-05-19,54,27, ,7,2,3
2021-05-20,54,13, ,6,2,3
2021-05-21,43,20, ,6,2,3
2021-05-22,39,19, ,7,2,4
2021-05-23,33,21, ,12,2,4
2021-05-24,44,25, ,16,2,6
2021-05-25,54,20, ,14,2,5
2021-05-26,41,18, ,8,2,4
2021-05-27,34,19, ,6,2,4
2021-05-28,39,21, ,9,1,6
2021-05-29,46,30, ,10,1,7
2021-05-30,61,24, ,11,1,6
2021-05-31,55,19, ,15,2,6
2021-06-01,44,23, ,18,2,6
2021-06-02,52,27, ,14,2,5
2021-06-03,55,18, ,11,2,5
2021-06-04,45,31, ,15,2,6
2021-06-05,66,48, ,18,3,7
2021-06-06,98,42, ,13,2,6
2021-06-07,86,35, ,13,2,5
2021-06-08,71,26, ,14,2,5
2021-06-09,49,27, ,13,2,4
2021-06-10,54,20, ,11,2,4
2021-06-11,44,17, ,9,2,4
2021-06-12,32,19, ,11,3,5
2021-06-13,35,16, ,9,3,5
2021-06-14,35,21, ,7,3,5
2021-06-15,45,24, ,8,3,5
2021-06-16,47,25, ,7,1,4
2021-06-17,52,24, ,6,1,4
2021-06-18,54,27, ,6, ,4
2021-06-19,58,28, ,5,2,4
2021-06-20,59,30, ,6,2,5
2021-06-21,60,21, ,16,2,6
2021-06-22,53,16, ,14,2,6
2021-06-23,48,28, ,19,2,7
2021-06-24,68,23, ,13,1,6
2021-06-25,60,29, ,14,1,6
2021-06-26,55,32, ,11,1,6
2021-06-27,65,28, ,11,1,6
2021-06-28,57,28, ,8,1,5
2021-06-29,59,29, ,6,1,4
2021-06-30,58,25, ,5,2,3
2022-07-01,25,12,17,6,2,5
2022-07-02,20,22,20,4,2,5
2022-07-03,30,23,17,8,2,6
2022-07-04,35,27,30,10,2,6
2022-07-05,48,29,21,13,2,6
2022-07-06,45,24,15,13,2,6
2022-07-07,35,25,43,11,3,6
2022-07-08,46,28,59,12,3,5
2022-07-09,44,23,38,7,3,5
2022-07-10,28,23,38,7,3,5
2022-07-11,28,24,69,8,3,5
2022-07-12,38,27,96,9,3,5
2022-07-13,33,26,78,9,3,5
2022-07-14,36,20,39,7,2,5
2022-07-15,25,25,43,6,3,5
2022-07-16,34,26,38,4, ,5
2022-07-17,40,30,36,6,3,5
2022-07-18,43,29,39,6, ,6
2022-07-19,38,18,24,5,3,5
2022-07-20,19,19,41,5,3,5
2022-07-21,21,27,90,7,3,5
2022-07-22,39,39,96,8,2,6
2022-07-23,65,42,119,7,2,6
2022-07-24,74,49,124,7,2,7
2022-07-25,88,45,109,8,2,6
2022-07-26,77,39,116,8,2,6
2022-07-27,67,44,120,8,2,7
2022-07-28,82,51,125,9,2,7
2022-07-29,96,44,77,14,1,7
2022-07-30,86,48,138,13,2,7
2022-07-31,101,28,89,5,2,6
2022-08-01,57,24,86,7,2,5
2022-08-02,39,26,53,12,2,6
2022-08-03,48,19,17,12,2,7
2022-08-04,41,12,31,12,2,5
2022-08-05,23,19,38,12,2,5
2022-08-06,33,23,49,10,2,5
2022-08-07,37,24,27,12,2,5
2022-08-08,36,13,16,8,2,5
2022-08-09,19,12,21,7,2,5
2022-08-10,18,12,4,11,2,5
2022-08-11,26, , , , , 
2022-08-12,30, , , , , 
2022-08-13,63, , , , , 
2022-08-14,54, , , , , 
2022-08-15,41, , , , , 
2022-08-16,39,22,30,12,2,6
2022-08-17,36,25,50,13,2,6
2022-08-18,46,22,34,15,2,6
2022-08-19,39, , , , , 
2022-08-20,19, , , , , 
2022-08-21,28,32,53,10,1,6
2022-08-22,45,34,70,12,2,6
2022-08-23,67,43,59,18,1,7
2022-08-24,85,14,21,6,1,5
2022-08-25,21,20,23,10,1,5
2022-08-26,35,35,85,14,1,5
2022-08-27,58,43,96,15,1,6
2022-08-28,76,40,76,10,1,6
2022-08-29,74,34,45,14,1,7
2022-08-30,66,31,52,12,1,7
2022-08-31,52,28,39,10,1,8
2022-09-01,61,26,43,8,1,7
2022-09-02,57,36,67,8,1,6
2022-09-03,65,37,61,9,2,6
2022-09-04,67,49,92,10,2,6
