date,pm25,pm10,o3,no2,so2,co
2023-01-02,79,43,27,7,1,6
2023-01-03,97,47,19,11,2,6
2023-01-04,107,42,34,12,2,6
2023-01-05,105,41,33,11,2,6
2023-01-06,95,45,41,15,2,7
2023-01-07,92,53,19,25,1,7
2023-01-08,105,18,11,13,1,6
2023-01-09,60,10,11,11,1,6
2023-01-10,31,14,5,12,1,6
2023-01-11,46,32,2,19,1,8
2023-01-12,88,24,14,17,1,6
2023-01-13,67, , , , , 
2022-10-01,36,25,39,7,1,5
2022-10-02,46,22,45,7,1,5
2022-10-03,43,36,102,12,2,5
2022-10-04,68,40,72,8,2,5
2022-10-05,74,28,52,6,2,5
2022-10-06,52, , , , , 
2022-10-07,73, , , , , 
2022-10-08,61, , , , , 
2022-10-09,67, , , , , 
2022-10-10,49, , , , , 
2022-10-11,48, , , , , 
2022-10-12,60, , , , , 
2022-10-13,62, , , , , 
2022-10-14,68, , , , , 
2022-10-15,66, , , , , 
2022-10-16,73, , , , , 
2022-10-17,82, , , , , 
2022-10-18,114, , , , , 
2022-10-19,85, , , , , 
2022-10-20,74, , , , , 
2022-10-21,95, , , , , 
2022-10-22,82, , , , , 
2022-10-23,84, , , , , 
2022-10-24,94, , , , , 
2022-10-25,89, , , , , 
2022-10-26,83, , , , , 
2022-10-27,89, , , , , 
2022-10-28,92, , , , , 
2022-10-29,68, , , , , 
2022-10-30,57, , , , , 
2022-10-31,73, , , , , 
2022-11-01,71, , , , , 
2022-11-02,57, , , , , 
2022-11-03,23, , , , , 
2022-11-04,23, , , , , 
2022-11-05,31, , , , , 
2022-11-06,47, , , , , 
2022-11-07,47, , , , , 
2022-11-08,41, , , , , 
2022-11-09,50, , , , , 
2022-11-10,139,82,15,50,2,12
2022-11-11,156,62,87,27,2,8
2022-11-12,151,57,85,23,2,8
2022-11-13,140,56,46,17,2,6
2022-11-14,134,70,61,21,3,8
2022-11-15,152,61,35,19,2,8
2022-11-16,136,47,58,16,2,7
2022-11-17,101,52,65,23,2,7
2022-11-18,115,45,45,14,2,6
2022-11-19,90,31,50,10,2,7
2022-11-20,60,46,46,16,2,7
2022-11-21,90,23,18,12,2,5
2022-11-22,60,10,11,9,1,6
2022-11-23,21,8,8,10,1,7
2022-11-24,10,15,6,13, ,7
2022-11-25,22,12,12,11,1,6
2022-11-26,40,35,12,21,2,7
2022-11-27,67,31,19,17,2,6
2022-11-28,61,24,23,14,2,5
2022-11-29,39,21,7,10,1,7
2022-11-30,28,14,10,7,1,5
2022-12-01,23,13,13,9,2,5
2022-12-02,23,30,12,13,1,5
2022-12-03,53,25,9,11,1,6
2022-12-04,56,19,10,8,1,7
2022-12-05,32,25,16,9,1,7
2022-12-06,53,29,28,11,2,6
2022-12-07,57,31,26,13,2,6
